Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772583891,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583892,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583893,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583894,9,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583895,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583896,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583897,18,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583898,21,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583899,24,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583900,27,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583901,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772583902,30,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,10161.675415933132,10164.752032918235,10161.675415933132,10169.315781444311,264.0
1772583903,30,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,0,10128.291151486337,10183.734117262065,10128.291151486337,10296.123336069286,264.0
1772583904,30,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,9,0,10128.291151486337,10285.03983353989,10128.291151486337,11218.972016125917,264.0
1772583905,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583906,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583907,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583908,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583909,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583910,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583911,30,,Aggregated,0.300000,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,10,0,10128.291151486337,10270.394966658205,10128.291151486337,11218.972016125917,264.0
1772583912,30,,Aggregated,1.000000,0.000000,10000,10000,11000,16000,17000,17000,17000,17000,17000,17000,17000,13,0,10128.291151486337,11788.44583629129,10128.291151486337,17210.314930416644,264.0
